Epoch Time (Seconds),Time (Seconds),Frame Number,PSM1_joint_1,PSM1_joint_2,PSM1_joint_3,PSM1_joint_4,PSM1_joint_5,PSM1_joint_6,PSM1_jaw_angle,PSM1_ee_x,PSM1_ee_y,PSM1_ee_z,"PSM1_Orientation_Matrix_[1,1]","PSM1_Orientation_Matrix_[1,2]","PSM1_Orientation_Matrix_[1,3]","PSM1_Orientation_Matrix_[2,1]","PSM1_Orientation_Matrix_[2,2]","PSM1_Orientation_Matrix_[2,3]","PSM1_Orientation_Matrix_[3,1]","PSM1_Orientation_Matrix_[3,2]","PSM1_Orientation_Matrix_[3,3]",PSM2_joint_1,PSM2_joint_2,PSM2_joint_3,PSM2_joint_4,PSM2_joint_5,PSM2_joint_6,PSM2_jaw_angle,PSM2_ee_x,PSM2_ee_y,PSM2_ee_z,"PSM2_Orientation_Matrix_[1,1]","PSM2_Orientation_Matrix_[1,2]","PSM2_Orientation_Matrix_[1,3]","PSM2_Orientation_Matrix_[2,1]","PSM2_Orientation_Matrix_[2,2]","PSM2_Orientation_Matrix_[2,3]","PSM2_Orientation_Matrix_[3,1]","PSM2_Orientation_Matrix_[3,2]","PSM2_Orientation_Matrix_[3,3]",PSM3_joint_1,PSM3_joint_2,PSM3_joint_3,PSM3_joint_4,PSM3_joint_5,PSM3_joint_6,PSM3_jaw_angle,PSM3_ee_x,PSM3_ee_y,PSM3_ee_z,"PSM3_Orientation_Matrix_[1,1]","PSM3_Orientation_Matrix_[1,2]","PSM3_Orientation_Matrix_[1,3]","PSM3_Orientation_Matrix_[2,1]","PSM3_Orientation_Matrix_[2,2]","PSM3_Orientation_Matrix_[2,3]","PSM3_Orientation_Matrix_[3,1]","PSM3_Orientation_Matrix_[3,2]","PSM3_Orientation_Matrix_[3,3]",Camera Left,Camera Right
2025-06-03 16:17:11,0.0016727447509765625,1,-0.034088105,-0.012278421,0.11399738,0.02740266,0.07675572,0.08513568,0.5235884,0.058847994,3.3444376e-06,0.001580934,0.8898824151278735,-0.01093643668193334,0.456058857603802,-0.02182133027539471,0.9975477652513866,0.0665002675707143,-0.45566777019139176,-0.06912922966926881,0.8874615669504445,0.05762877,-0.011930227,0.11234795,-0.040411383,0.07623703,-0.10743535,0.5235896,-0.05759817,-6.4097985e-05,0.004339002,0.8889658177198799,0.0016358657705173897,-0.4579706310112105,0.03328024787397099,0.9971190391883525,0.06816191597618014,0.45676273931558,-0.0758349894921707,0.8863503000178033,0.0027112945,-0.0066372748,0.09113527,-0.00016017818,-0.012059744,-0.0063069337,2.2488119e-05,0.00019613956,-0.008872889,0.0024891812,0.9999935043920685,-0.00021059795223301366,0.0035981692807717496,0.0011984526373022485,0.9609184675103811,-0.27682894088006266,-0.0033992477030539443,0.2768314549432625,0.960912478152433,left_images/camera_left_1.png,right_images/camera_right_1.png
2025-06-03 16:17:11,0.04886937141418457,2,-0.034087997,-0.012278382,0.11399758,0.027402664,0.0767558,0.08513566,0.5235885,0.058848027,3.3964752e-06,0.0015806342,0.8898826006402137,-0.01093647676875365,0.45605849466235865,-0.02182130263770881,0.9975477594951938,0.06650036298632302,-0.45566740922410026,-0.06912930639031258,0.8874617463130402,0.057628665,-0.01193036,0.11234795,-0.04040918,0.07623862,-0.10743462,0.5235896,-0.05759812,-6.407668e-05,0.0043387897,0.8889656337726786,0.001638465240988183,-0.4579709787779068,0.033277831581093154,0.9971190580090601,0.0681628203670088,0.45676327336641276,-0.07583468590809078,0.8863500507794992,0.0027112945,-0.0066372743,0.091135286,-0.00016017823,-0.012059744,-0.0063069332,2.2485205e-05,0.00019613863,-0.0088728815,0.0024891812,0.9999935043920685,-0.00021059795223301366,0.0035981692807717496,0.0011984526373022485,0.9609184675103811,-0.27682894088006266,-0.0033992477030539443,0.2768314549432625,0.960912478152433,left_images/camera_left_2.png,right_images/camera_right_2.png
2025-06-03 16:17:11,0.10596370697021484,3,-0.034088094,-0.012279055,0.11399759,0.02740263,0.07675576,0.08513565,0.52358836,0.05884792,3.4876284e-06,0.0015807273,0.8898824119526828,-0.010936092632940677,0.4560588720496502,-0.021821355377861413,0.9975478116806262,0.06649956286071952,-0.45566777519015816,-0.06912861411251818,0.8874616123326877,0.057628773,-0.011930407,0.11234795,-0.040407594,0.076239735,-0.107434176,0.5235896,-0.057598192,-6.4058404e-05,0.0043389127,0.8889654515395663,0.0016403317205184557,-0.45797132582826783,0.03327621607600727,0.9971190529263121,0.06816368340250678,0.4567637457293624,-0.07583471238938647,0.8863498050905756,0.0027112954,-0.0066372743,0.091135256,-0.00016017818,-0.012059744,-0.0063069323,2.2487238e-05,0.00019613816,-0.008872889,0.002489211,0.9999935043920685,-0.00021059795223301366,0.0035981692807717496,0.0011984526373022485,0.9609184675103811,-0.27682894088006266,-0.0033992477030539443,0.2768314549432625,0.960912478152433,left_images/camera_left_3.png,right_images/camera_right_3.png
2025-06-03 16:17:11,0.15754437446594238,4,-0.034088,-0.012279185,0.113997474,0.027402556,0.076755844,0.08513569,0.52358836,0.05884801,3.4215045e-06,0.0015807822,0.8898825710435602,-0.010936339850683124,0.45605855569605697,-0.021821085571726823,0.9975478130454695,0.06649963092132596,-0.4556674774189777,-0.06912855530727918,0.8874617698040598,0.057628784,-0.0119303735,0.11234795,-0.040406466,0.07624063,-0.10743395,0.5235896,-0.057598166,-6.4091524e-05,0.0043388885,0.8889652088583326,0.0016417139631461838,-0.4579717919421721,0.03327499663509569,0.9971190556506598,0.06816423884465089,0.4567643068787176,-0.07583464665704887,0.8863495215365127,0.0027112958,-0.0066372715,0.09113529,-0.00016017843,-0.0120597435,-0.0063069277,2.2484668e-05,0.0001961391,-0.0088728815,0.0024891812,0.9999935043920685,-0.00021059795223301366,0.0035981692807717496,0.0011984526373022485,0.9609184675103811,-0.27682894088006266,-0.0033992477030539443,0.2768314549432625,0.960912478152433,left_images/camera_left_4.png,right_images/camera_right_4.png
2025-06-03 16:17:11,0.20846343040466309,5,-0.034088,-0.012278469,0.11399756,0.027402677,0.07675602,0.08513557,0.5235883,0.058848027,3.3907127e-06,0.0015806332,0.8898825889328476,-0.010936631555767198,0.45605851379443224,-0.02182127178133273,0.9975477418650296,0.06650063757457984,-0.45566743356533407,-0.0691295363082511,0.8874617159054177,0.057628784,-0.011930349,0.11234795,-0.040405575,0.0762413,-0.10743395,0.5235896,-0.057598222,-6.4086984e-05,0.00433895,0.8889653181110462,0.0016427591877447509,-0.4579715761245207,0.033274156312435195,0.9971190368949241,0.06816492340958517,0.4567641554647455,-0.0758348706334366,0.8863495804018795,0.002711296,-0.0066372724,0.09113528,-0.0001601784,-0.012059745,-0.006306927,2.2485738e-05,0.00019613816,-0.008872889,0.0024891812,0.9999935043920685,-0.00021059795223301366,0.0035981692807717496,0.0011984526373022485,0.9609184675103811,-0.27682894088006266,-0.0033992477030539443,0.2768314549432625,0.960912478152433,left_images/camera_left_5.png,right_images/camera_right_5.png
2025-06-03 16:17:11,0.257220983505249,6,-0.034088124,-0.01227832,0.11399755,0.027402677,0.07675593,0.08513554,0.52358836,0.058847897,3.3465913e-06,0.0015807878,0.889882178740613,-0.010936585733736725,0.4560593152785588,-0.021821272303874803,0.9975477575414762,0.06650040224699545,-0.4556682346125297,-0.0691293173440956,0.8874613216634512,0.057628784,-0.011930319,0.11234795,-0.040404905,0.07624175,-0.10743395,0.5235896,-0.057598174,-6.409042e-05,0.00433892,0.8889652634575291,0.0016434939713077593,-0.4579716795757701,0.033273526031803724,0.997119033522517,0.06816528040382668,0.456764307746672,-0.07583489905503739,0.8863494994944239,0.0027112958,-0.006637274,0.091135256,-0.0001601784,-0.012059745,-0.0063069253,2.2487136e-05,0.00019613816,-0.008872889,0.002489211,0.9999935043920685,-0.00021059795223301366,0.0035981692807717496,0.0011984526373022485,0.9609184675103811,-0.27682894088006266,-0.0033992477030539443,0.2768314549432625,0.960912478152433,left_images/camera_left_6.png,right_images/camera_right_6.png
2025-06-03 16:17:11,0.30515265464782715,7,-0.034087997,-0.012278477,0.11399764,0.027402708,0.07675598,0.085135594,0.52358836,0.05884792,3.384077e-06,0.0015805131,0.889882587339261,-0.010936325118765026,0.4560585242524028,-0.021821673899036203,0.9975477255781382,0.06650074993658071,-0.4556674174204547,-0.06912981980867726,0.8874617021114731,0.057628784,-0.011930364,0.11234795,-0.04040438,0.07624219,-0.10743387,0.5235896,-0.05759816,-6.4109685e-05,0.0043388903,0.8889652953213762,0.0016446561115047893,-0.4579716135531257,0.03327258618926736,0.9971190157980799,0.06816599843137787,0.4567643141954682,-0.0758351069106105,0.8863494783872783,0.0027112965,-0.0066372715,0.09113529,-0.00016017868,-0.0120597435,-0.0063069207,2.248282e-05,0.0001961391,-0.0088728815,0.0024891812,0.9999935043920685,-0.00021059795223301366,0.0035981692807717496,0.0011984526373022485,0.9609184675103811,-0.27682894088006266,-0.0033992477030539443,0.2768314549432625,0.960912478152433,left_images/camera_left_7.png,right_images/camera_right_7.png
2025-06-03 16:17:11,0.40488100051879883,8,-0.034088075,-0.012278345,0.11399761,0.02740271,0.07675593,0.08513556,0.5235884,0.058847826,3.331632e-06,0.0015806714,0.8898821777979583,-0.010936300402911079,0.45605932396022775,-0.021821587450452592,0.9975477513570525,0.06650039160508733,-0.45566822136144725,-0.06912945172634458,0.8874613179994437,0.057628784,-0.011930325,0.11234795,-0.040403932,0.07624219,-0.10743387,0.5235896,-0.057598162,-6.409158e-05,0.004338922,0.8889653118006855,0.0016448397622688682,-0.4579715809057003,0.03327227674994844,0.9971190394308069,0.06816580377622986,0.4567643046637782,-0.07583479219158637,0.8863495102262279,-0.0012236083,-0.007432618,0.09120269,0.0025707895,-0.012444816,-0.0028525107,2.5644997e-05,-0.00014082491,-0.00877595,0.0024460992,0.9999884572404637,0.0025950799670261893,0.004043630275105483,-0.0013688077064161405,0.9605884856743561,-0.2779710192723518,-0.004605621706118087,0.2779622757674358,0.9605809499979103,left_images/camera_left_8.png,right_images/camera_right_8.png
2025-06-03 16:17:11,0.4705839157104492,9,-0.034087967,-0.012278443,0.113997586,0.027402649,0.076756045,0.085135676,0.5235883,0.058848027,3.3907127e-06,0.0015806034,0.8898825889328476,-0.010936631555767198,0.45605851379443224,-0.02182127178133273,0.9975477418650296,0.06650063757457984,-0.45566743356533407,-0.0691295363082511,0.8874617159054177,0.057628784,-0.011930335,0.11234795,-0.04040371,0.076242335,-0.10743369,0.5235896,-0.05759816,-6.409339e-05,0.004338919,0.8889652050656919,0.0016448276090848153,-0.4579717881318111,0.033272362014476586,0.9971190297211943,0.06816590418854224,0.4567645061828794,-0.07583492012259455,0.8863493954313444,-0.0044360585,-0.008135987,0.091138184,0.0039932136,-0.012407882,0.000898085,4.0053765e-05,-0.00040743584,-0.008730406,0.0025266223,0.9999855792402956,0.004083958339716256,0.003487491323304908,-0.002950664420339285,0.9604022192679175,-0.27860163460528653,-0.004487191875684481,0.27858732654149665,0.9604004199288609,left_images/camera_left_9.png,right_images/camera_right_9.png
2025-06-03 16:17:11,0.5321323871612549,10,-0.03408813,-0.0122782495,0.113997616,0.02740274,0.07675593,0.08513566,0.52358836,0.05884783,3.32715e-06,0.0015806379,0.8898823875204657,-0.010936134811456357,0.456058918711455,-0.021821723009082365,0.9975477502977806,0.06650036301217997,-0.4556678052987623,-0.06912949320819935,0.8874615283960128,0.057628784,-0.011930272,0.11234795,-0.04040357,0.076242335,-0.10743369,0.5235896,-0.05759816,-6.416446e-05,0.00433895,0.8889652402799214,0.0016453477163974536,-0.45797171790947255,0.03327187519659279,0.9971190322610713,0.06816610465360824,0.4567644731094612,-0.0758348754441943,0.8863494162977711,-0.0068957657,-0.008500067,0.09122225,0.0047603906,-0.012736785,0.0042524147,3.286416e-05,-0.00060753745,-0.008669685,0.00245744,0.9999846324216096,0.0049063504969776624,0.002581210068829768,-0.0039903811345018015,0.960209794082925,-0.279251191950238,-0.0038486074130824575,0.2792366005236922,0.9602146161921055,left_images/camera_left_10.png,right_images/camera_right_10.png
