Epoch Time (Seconds),Time (Seconds),Frame Number,PSM1_joint_1,PSM1_joint_2,PSM1_joint_3,PSM1_joint_4,PSM1_joint_5,PSM1_joint_6,PSM1_jaw_angle,PSM1_ee_x,PSM1_ee_y,PSM1_ee_z,"PSM1_Orientation_Matrix_[1,1]","PSM1_Orientation_Matrix_[1,2]","PSM1_Orientation_Matrix_[1,3]","PSM1_Orientation_Matrix_[2,1]","PSM1_Orientation_Matrix_[2,2]","PSM1_Orientation_Matrix_[2,3]","PSM1_Orientation_Matrix_[3,1]","PSM1_Orientation_Matrix_[3,2]","PSM1_Orientation_Matrix_[3,3]",PSM2_joint_1,PSM2_joint_2,PSM2_joint_3,PSM2_joint_4,PSM2_joint_5,PSM2_joint_6,PSM2_jaw_angle,PSM2_ee_x,PSM2_ee_y,PSM2_ee_z,"PSM2_Orientation_Matrix_[1,1]","PSM2_Orientation_Matrix_[1,2]","PSM2_Orientation_Matrix_[1,3]","PSM2_Orientation_Matrix_[2,1]","PSM2_Orientation_Matrix_[2,2]","PSM2_Orientation_Matrix_[2,3]","PSM2_Orientation_Matrix_[3,1]","PSM2_Orientation_Matrix_[3,2]","PSM2_Orientation_Matrix_[3,3]",Camera Left,Camera Right
2025-06-02 14:44:52,0.001697540283203125,1,-0.07381554,-0.014321152,0.11373318,0.031232921,0.08570575,0.11985765,0.5235896,0.03537776,6.346626e-05,0.003167943,0.887471611433967,-0.014415157292828159,0.4606368875144728,-0.022477183683053795,0.9969673645359362,0.07450402850818284,-0.4603139310432352,-0.07647403017033223,0.8844562214134915,-0.00090618804,1.9074658e-05,0.107087806,0.00070370093,0.00011565693,-0.014005227,0.005959486,-0.04523655,-4.347822e-06,0.0047314344,0.8732870267041586,0.00067667784036986,-0.4872056148047869,-0.0007055760580121622,0.9999997433693004,0.00012419242935595936,0.4872055738111341,0.00023530497976392153,0.8732872800395812,left_images/camera_left_1.png,right_images/camera_right_1.png
2025-06-02 14:44:52,0.04533576965332031,2,-0.073815815,-0.014318627,0.11373318,0.03125547,0.085688084,0.119865045,0.5235896,0.03537767,6.347016e-05,0.0031680344,0.8874741736799421,-0.014388251884099893,0.46063279220961223,-0.022500785117614962,0.9969677260299665,0.07449206617975275,-0.4603078379956124,-0.07647438435422309,0.8844593618801531,-0.00090618804,1.9074658e-05,0.107087806,0.00070370093,0.00011565693,-0.014005227,0.005959486,-0.04523655,-4.347822e-06,0.0047314344,0.8732870267041586,0.00067667784036986,-0.4872056148047869,-0.0007055760580121622,0.9999997433693004,0.00012419242935595936,0.4872055738111341,0.00023530497976392153,0.8732872800395812,left_images/camera_left_2.png,right_images/camera_right_2.png
2025-06-02 14:44:52,0.09620189666748047,3,-0.07381595,-0.014316718,0.11373318,0.031272154,0.08567489,0.11987051,0.5235896,0.035377823,6.353232e-05,0.003168039,0.8874763813126069,-0.014368227334542252,0.4606291639220683,-0.02251821647619951,0.9969680088227529,0.0744830135717314,-0.46030272923263427,-0.07647446258234589,0.8844620139009532,-0.00090618804,1.9074658e-05,0.107087806,0.00070370093,0.00011565693,-0.014005227,0.005959486,-0.04523655,-4.347822e-06,0.0047314344,0.8732870267041586,0.00067667784036986,-0.4872056148047869,-0.0007055760580121622,0.9999997433693004,0.00012419242935595936,0.4872055738111341,0.00023530497976392153,0.8732872800395812,left_images/camera_left_3.png,right_images/camera_right_3.png
2025-06-02 14:44:53,0.15012335777282715,4,-0.07381618,-0.014315226,0.11373318,0.0312846,0.085665084,0.11987452,0.5235896,0.03537767,6.3543615e-05,0.0031679962,0.8874777867334863,-0.014353056293259893,0.46062692911908093,-0.02253146756970876,0.9969682225558522,0.07447614505987593,-0.46029937108776003,-0.07647452509736188,0.8844637561750879,-0.00090618804,1.9074658e-05,0.107087806,0.00070370093,0.00011565693,-0.014005227,0.005959486,-0.04523655,-4.347822e-06,0.0047314344,0.8732870267041586,0.00067667784036986,-0.4872056148047869,-0.0007055760580121622,0.9999997433693004,0.00012419242935595936,0.4872055738111341,0.00023530497976392153,0.8732872800395812,left_images/camera_left_4.png,right_images/camera_right_4.png
2025-06-02 14:44:53,0.19826245307922363,5,-0.07381618,-0.014313906,0.11373318,0.031293757,0.08565758,0.119877614,0.5235896,0.035377726,6.344332e-05,0.0031680437,0.8874789468422306,-0.014342383163083394,0.4606250264119484,-0.022540727358151547,0.9969683785847744,0.07447125426774509,-0.4602966809808326,-0.07647449344225149,0.8844651589128768,-0.00090618804,1.9074658e-05,0.107087806,0.00070370093,0.00011565693,-0.014005227,0.005959486,-0.04523655,-4.347822e-06,0.0047314344,0.8732870267041586,0.00067667784036986,-0.4872056148047869,-0.0007055760580121622,0.9999997433693004,0.00012419242935595936,0.4872055738111341,0.00023530497976392153,0.8732872800395812,left_images/camera_left_5.png,right_images/camera_right_5.png
2025-06-02 14:44:53,0.24631023406982422,6,-0.07381618,-0.0143130645,0.11373318,0.031300545,0.08565218,0.11987986,0.5235896,0.035377715,6.348087e-05,0.0031681806,0.8874798389709744,-0.014334146408662733,0.4606235639508559,-0.022547881773123404,0.9969684976128097,0.07446749489006668,-0.4602946104915834,-0.0764744860354869,0.8844662370820096,-0.00090618804,1.9074658e-05,0.107087806,0.00070370093,0.00011565693,-0.014005227,0.005959486,-0.04523655,-4.347822e-06,0.0047314344,0.8732870267041586,0.00067667784036986,-0.4872056148047869,-0.0007055760580121622,0.9999997433693004,0.00012419242935595936,0.4872055738111341,0.00023530497976392153,0.8732872800395812,left_images/camera_left_6.png,right_images/camera_right_6.png
2025-06-02 14:44:53,0.29670000076293945,7,-0.07381575,-0.014315608,0.11373318,0.03127408,0.08567268,0.11987115,0.5235896,0.03537778,6.342761e-05,0.0031681266,0.887476598036421,-0.01436594304740495,0.4606288176157237,-0.02252034934334245,0.996968018010087,0.07448224574012685,-0.4603022070370234,-0.07647477195387736,0.8844622589186312,-0.00090618804,1.9074658e-05,0.107087806,0.00070370093,0.00011565693,-0.014005227,0.005959486,-0.04523655,-4.347822e-06,0.0047314344,0.8732870267041586,0.00067667784036986,-0.4872056148047869,-0.0007055760580121622,0.9999997433693004,0.00012419242935595936,0.4872055738111341,0.00023530497976392153,0.8732872800395812,left_images/camera_left_7.png,right_images/camera_right_7.png
2025-06-02 14:44:53,0.34081196784973145,8,-0.07381571,-0.014317817,0.11373318,0.031254493,0.08568797,0.11986493,0.5235896,0.03537777,6.34825e-05,0.0031680902,0.887474338666993,-0.014389174716518512,0.4606324455122117,-0.022500029262427303,0.9969676979350913,0.07449267049310417,-0.4603075568473465,-0.07647457698465406,0.8844594915451159,-0.00090618804,1.9074658e-05,0.107087806,0.00070370093,0.00011565693,-0.014005227,0.005959486,-0.04523655,-4.347822e-06,0.0047314344,0.8732870267041586,0.00067667784036986,-0.4872056148047869,-0.0007055760580121622,0.9999997433693004,0.00012419242935595936,0.4872055738111341,0.00023530497976392153,0.8732872800395812,left_images/camera_left_8.png,right_images/camera_right_8.png
2025-06-02 14:44:53,0.4202284812927246,9,-0.07381571,-0.014319355,0.11373318,0.031239923,0.08569923,0.11986008,0.5235896,0.035377733,6.344955e-05,0.0031682001,0.8874724112786709,-0.014406788998567616,0.4606356083174337,-0.02248463900978344,0.9969674579205324,0.07450052923349651,-0.46031202485685857,-0.07647438968845777,0.884457182397179,0.0071846065,-0.0043121544,0.108195886,0.0019261364,0.011145042,-0.026092753,0.032627136,-0.044005528,0.0002738183,0.004167849,0.875229309249478,0.005120939760964536,-0.48368112657684476,-0.0021037529784076123,0.9999747999811217,0.006780385396207147,0.4837036597484941,-0.0049168464161320445,0.8752180266466366,left_images/camera_left_9.png,right_images/camera_right_9.png
2025-06-02 14:44:53,0.4697284698486328,10,-0.073815495,-0.014320483,0.11373318,0.031229163,0.08570755,0.11985655,0.5235896,0.03537777,6.341864e-05,0.0031679478,0.8874712214836646,-0.014419750001160268,0.4606374950524507,-0.02247325722480536,0.9969672844931214,0.07450628403107552,-0.460314874567399,-0.07647420781097118,0.8844557149974691,0.013691016,-0.008062255,0.109359495,-0.0003321779,0.019743158,-0.035947584,0.059293568,-0.04286866,0.0005407097,0.0034931386,0.876839663115535,0.0056953234141020135,-0.4807491741840478,-8.827081834816147e-05,0.9999317246200335,0.011684960704598025,0.48078290048180555,-0.010203400884712567,0.8767802992852246,left_images/camera_left_10.png,right_images/camera_right_10.png
